,Lambda,Solver,Tolerance,Score,Repeats,ElapsedTime [s]
0,0.1,sparse_cg,0.001,5.379862090419446,1,79.53498578299991
1,1.0,lsqr,0.0001,5.409152634449571,1,72.88299176199996
2,10.0,lsqr,0.0001,5.391968546307562,1,70.0153418399999
3,100.0,lsqr,0.0001,5.614059859388044,1,66.91109359799998
4,200.0,lsqr,1e-05,5.707882298514047,1,55.55781919700007
5,0.1,lsqr,1e-05,5.374068055595922,11,803.0064689139999
6,1.0,sparse_cg,1e-05,5.382732544600719,11,783.3826741129997
7,10.0,lsqr,0.0001,5.3801033055115255,11,781.6330274670004
8,100.0,lsqr,0.0001,5.587227863259032,11,704.4377824799999
9,200.0,sparse_cg,0.0001,5.678381343508515,11,600.2737614479993
10,0.1,lsqr,1e-05,5.369638482348086,21,1520.0808758310004
11,1.0,sparse_cg,1e-05,5.377647973098848,21,1520.9195279289997
12,10.0,lsqr,0.0001,5.3710794822703845,21,1546.946650598
13,100.0,lsqr,0.0001,5.576285209799016,21,1340.7756093649987
14,200.0,sparse_cg,0.0001,5.66506575013035,21,1172.6942380990004
15,0.1,svd,1e-05,5.379794328515043,31,2255.435431125001
16,1.0,svd,1e-05,5.387894845223456,31,2278.3817240789995
17,10.0,lsqr,0.0001,5.374822815182908,31,2286.559628293002
18,100.0,lsqr,0.0001,5.5689001058717675,31,2119.8973491549987
19,200.0,sparse_cg,0.0001,5.65738238490419,31,1767.110508671998
20,0.1,lsqr,1e-05,5.37597672579202,41,2974.588055553002
21,1.0,svd,1e-05,5.383933965148755,41,3006.6895101120026
22,10.0,lsqr,0.0001,5.369014851368883,41,3086.58768737
23,100.0,lsqr,0.0001,5.564779472380577,41,2645.0814529169984
24,200.0,sparse_cg,0.0001,5.654034257247633,41,2255.1798494920004
25,0.1,lsqr,1e-05,5.385328822677006,51,3799.505754050995
26,1.0,svd,1e-05,5.390446071367416,51,3653.389722189997
27,10.0,lsqr,0.0001,5.372924352193295,51,3573.7319048749996
28,100.0,lsqr,0.0001,5.569961200535911,51,3330.926436367001
29,200.0,sparse_cg,0.0001,5.659841165072883,51,2914.2643437560037
30,0.1,svd,1e-05,5.389197492121976,61,4374.933722376998
31,1.0,svd,1e-05,5.395307071117433,61,4491.487141555001
32,10.0,lsqr,0.0001,5.37882574308104,61,4284.184177467003
33,100.0,lsqr,0.0001,5.574357525313795,61,3961.935534849006
34,200.0,sparse_cg,0.0001,5.664067269628947,61,3371.1366782800033
35,0.1,svd,1e-05,5.38196963341356,71,5188.901622598001
36,1.0,svd,1e-05,5.389012975817734,71,5098.02027985701
37,10.0,lsqr,0.0001,5.375568196759771,71,5082.295600742
38,100.0,lsqr,0.0001,5.572636159134505,71,4621.654834583998
39,200.0,sparse_cg,0.0001,5.662609344404336,71,4125.512117777005
40,0.1,svd,1e-05,5.377897921417164,81,6195.496831224009
41,1.0,lsqr,1e-05,5.383436102863352,81,5796.159307160997
42,10.0,lsqr,0.0001,5.369495368815671,81,5846.196991438002
43,100.0,lsqr,0.0001,5.569984232982628,81,5285.328750123997
44,200.0,sparse_cg,0.0001,5.661283384586968,81,4578.11271642799
45,0.1,svd,1e-05,5.381432446376112,91,6776.867494798018
46,1.0,lsqr,1e-05,5.386817236296967,91,6411.107495828997
47,10.0,lsqr,0.0001,5.372112597624085,91,6426.6342479540035
48,100.0,lsqr,0.0001,5.572429513408173,91,5808.995270108018
49,200.0,sparse_cg,0.0001,5.66313629637182,91,5193.051991330984
50,0.1,svd,1e-05,5.383318604240271,101,7613.817884749995
51,1.0,lsqr,1e-05,5.387866092068572,101,7572.733763633005
52,10.0,lsqr,0.0001,5.373201903013216,101,7380.778831814998
53,100.0,lsqr,0.0001,5.57227004790653,101,6577.142028768023
54,200.0,sparse_cg,0.0001,5.662631086373078,101,5682.360438277014
55,0.1,lsqr,1e-05,5.385526123936027,111,7816.161462733988
56,1.0,lsqr,1e-05,5.389945049941846,111,8423.266228788998
57,10.0,lsqr,0.0001,5.374095399489248,111,7890.420855639008
58,100.0,lsqr,0.0001,5.572639598567766,111,7202.701381571009
59,200.0,sparse_cg,0.0001,5.662843364755602,111,6353.691504346003
60,0.1,lsqr,1e-05,5.3833474757982005,121,8959.775368053
61,1.0,lsqr,1e-05,5.387627995126929,121,8705.879161841003
62,10.0,lsqr,0.0001,5.371627083529852,121,8899.010303710995
63,100.0,lsqr,0.0001,5.5710168872756,121,7772.595379687991
64,200.0,sparse_cg,0.0001,5.661730055393956,121,6936.60739778803
65,0.1,lsqr,1e-05,5.3804207632150165,131,9236.585465689015
66,1.0,lsqr,1e-05,5.384358239212209,131,10136.327259869955
67,10.0,lsqr,0.0001,5.368088124140502,131,9297.86464068602
68,100.0,lsqr,0.0001,5.567832641791253,131,8320.590986847994
69,200.0,sparse_cg,0.0001,5.658798171344226,131,7279.6876699940185
70,0.1,sparse_cg,1e-05,5.38300523927024,141,10506.341137558979
71,1.0,lsqr,1e-05,5.387254084429295,141,10533.560758554959
72,10.0,lsqr,0.0001,5.369280216008938,141,10026.255898746022
73,100.0,lsqr,0.0001,5.5693280293570595,141,9178.228771512979
74,200.0,sparse_cg,0.0001,5.660390816823108,141,7964.04898012901
