,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.041695594787597656,0.008545897540681545,0.004872798919677734,0.001155734105230668,0.1,1.0,l2,liblinear,"{'C': 0.1, 'max_iter': 1.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.5863341283992929,0.5888196744089109,0.6005510735815172,0.6381181003717378,0.5518062967394173,0.5931258547001752,0.027753964224685023,221
1,0.028292274475097655,0.003127655614796851,0.004355955123901367,0.0016971052501746286,0.1,1.0,l2,newton-cg,"{'C': 0.1, 'max_iter': 1.0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5863186902253202,0.5887604947420153,0.6005126444614672,0.6381488436677777,0.5517832392673873,0.5931047824727935,0.02777134380953136,242
2,0.23986940383911132,0.03202730076561465,0.0037124156951904297,0.0003151809933658153,0.1,15.9,l2,liblinear,"{'C': 0.1, 'max_iter': 15.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.5995209020010447,0.6017658697995869,0.5925193874910653,0.6235624306674625,0.6005574784348588,0.6035852136788037,0.010493212378499109,1
3,0.3562138557434082,0.019955248885593847,0.0036975383758544923,0.00047617183045298264,0.1,15.9,l2,newton-cg,"{'C': 0.1, 'max_iter': 15.9, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5994745874791263,0.6018572123289258,0.5922580694747253,0.6233100794458007,0.6006215269682753,0.6035042951393705,0.01044996135526574,11
4,0.2572281837463379,0.03510633254740156,0.0038443088531494142,0.0011644297833144819,0.1,30.8,l2,liblinear,"{'C': 0.1, 'max_iter': 30.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.5995209020010447,0.6017658697995869,0.5925193874910653,0.6235624306674625,0.6005574784348588,0.6035852136788037,0.010493212378499109,1
5,0.3746066093444824,0.018095741519941165,0.004362869262695313,0.0008015343344856161,0.1,30.8,l2,newton-cg,"{'C': 0.1, 'max_iter': 30.8, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5994745874791263,0.6018572123289258,0.5922580694747253,0.6233100794458007,0.6006215269682753,0.6035042951393705,0.01044996135526574,11
6,0.24587526321411132,0.01899395701829617,0.003472566604614258,0.0005596489456233024,0.1,45.7,l2,liblinear,"{'C': 0.1, 'max_iter': 45.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.5995209020010447,0.6017658697995869,0.5925193874910653,0.6235624306674625,0.6005574784348588,0.6035852136788037,0.010493212378499109,1
7,0.4423984527587891,0.060572387227921645,0.005531692504882812,0.0015706119297514186,0.1,45.7,l2,newton-cg,"{'C': 0.1, 'max_iter': 45.7, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5994745874791263,0.6018572123289258,0.5922580694747253,0.6233100794458007,0.6006215269682753,0.6035042951393705,0.01044996135526574,11
8,0.2440730094909668,0.021377440617464924,0.0035998344421386717,0.0008732360604254776,0.1,60.6,l2,liblinear,"{'C': 0.1, 'max_iter': 60.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.5995209020010447,0.6017658697995869,0.5925193874910653,0.6235624306674625,0.6005574784348588,0.6035852136788037,0.010493212378499109,1
9,0.3657534122467041,0.042936992247146526,0.004125404357910156,0.00042903661197279486,0.1,60.6,l2,newton-cg,"{'C': 0.1, 'max_iter': 60.6, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5994745874791263,0.6018572123289258,0.5922580694747253,0.6233100794458007,0.6006215269682753,0.6035042951393705,0.01044996135526574,11
